standard_name,gene
NABA_Hs_MATRISOME_METASTATIC_COLORECTAL_LIVER_METASTASIS,THBS2
NABA_Hs_MATRISOME_METASTATIC_COLORECTAL_LIVER_METASTASIS,TIMP1
NABA_Mm_MATRISOME_INSULINOMA,EFEMP1
NABA_Mm_MATRISOME_INSULINOMA,FBN1
NABA_Mm_MATRISOME_INSULINOMA,FGA
NABA_Mm_MATRISOME_INSULINOMA,FGB
NABA_Mm_MATRISOME_INSULINOMA,FGG
NABA_Mm_MATRISOME_INSULINOMA,POSTN
NABA_Mm_MATRISOME_INSULINOMA,KNG1
NABA_Mm_MATRISOME_INSULINOMA,KNG2
